time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tasmean[unit="F"]
2021-08-11T00:00:00Z,31.9555,-109.0744,79.59996032714844
2021-08-12T00:00:00Z,31.9555,-109.0744,78.52900695800781
2021-08-13T00:00:00Z,31.9555,-109.0744,79.20401000976562
2021-08-14T00:00:00Z,31.9555,-109.0744,77.8809814453125
2021-08-15T00:00:00Z,31.9555,-109.0744,75.34297180175781
2021-08-16T00:00:00Z,31.9555,-109.0744,76.56696319580078
2021-08-17T00:00:00Z,31.9555,-109.0744,80.18498229980469
2021-08-18T00:00:00Z,31.9555,-109.0744,81.28300476074219
2021-08-19T00:00:00Z,31.9555,-109.0744,81.02203369140625
2021-08-20T00:00:00Z,31.9555,-109.0744,79.87895202636719
2021-08-21T00:00:00Z,31.9555,-109.0744,80.88700866699219
2021-08-22T00:00:00Z,31.9555,-109.0744,81.12997436523438
2021-08-23T00:00:00Z,31.9555,-109.0744,78.5379638671875
2021-08-24T00:00:00Z,31.9555,-109.0744,76.74702453613281
2021-08-25T00:00:00Z,31.9555,-109.0744,77.64697265625
2021-08-26T00:00:00Z,31.9555,-109.0744,79.32997131347656
2021-08-27T00:00:00Z,31.9555,-109.0744,81.9849853515625
2021-08-28T00:00:00Z,31.9555,-109.0744,80.2030029296875
2021-08-29T00:00:00Z,31.9555,-109.0744,76.58497619628906
2021-08-30T00:00:00Z,31.9555,-109.0744,76.01951599121094
2021-08-31T00:00:00Z,31.9555,-109.0744,76.98625183105469
2021-09-01T00:00:00Z,31.9555,-109.0744,77.59825134277344
2021-09-02T00:00:00Z,31.9555,-109.0744,73.8722915649414
2021-09-03T00:00:00Z,31.9555,-109.0744,71.06423950195312
2021-09-04T00:00:00Z,31.9555,-109.0744,74.95230102539062
2021-09-05T00:00:00Z,31.9555,-109.0744,77.35523223876953
2021-09-06T00:00:00Z,31.9555,-109.0744,77.30128479003906
2021-09-07T00:00:00Z,31.9555,-109.0744,78.30027770996094
2021-09-08T00:00:00Z,31.9555,-109.0744,77.85928344726562
2021-09-09T00:00:00Z,31.9555,-109.0744,77.52629089355469
2021-09-10T00:00:00Z,31.9555,-109.0744,76.81525421142578
2021-09-11T00:00:00Z,31.9555,-109.0744,76.1402587890625
2021-09-12T00:00:00Z,31.9555,-109.0744,73.80027770996094
2021-09-13T00:00:00Z,31.9555,-109.0744,72.65725708007812
2021-09-14T00:00:00Z,31.9555,-109.0744,71.01029968261719
2021-09-15T00:00:00Z,31.9555,-109.0744,73.71024322509766
2021-09-16T00:00:00Z,31.9555,-109.0744,74.01626586914062
2021-09-17T00:00:00Z,31.9555,-109.0744,73.188232421875
2021-09-18T00:00:00Z,31.9555,-109.0744,73.43124389648438
2021-09-19T00:00:00Z,31.9555,-109.0744,73.34126281738281
2021-09-20T00:00:00Z,31.9555,-109.0744,73.02629089355469
2021-09-21T00:00:00Z,31.9555,-109.0744,70.20928955078125
2021-09-22T00:00:00Z,31.9555,-109.0744,71.79328918457031
2021-09-23T00:00:00Z,31.9555,-109.0744,72.69329833984375
2021-09-24T00:00:00Z,31.9555,-109.0744,74.16925048828125
2021-09-25T00:00:00Z,31.9555,-109.0744,74.28631591796875
2021-09-26T00:00:00Z,31.9555,-109.0744,74.59228515625
2021-09-27T00:00:00Z,31.9555,-109.0744,76.14926147460938
2021-09-28T00:00:00Z,31.9555,-109.0744,76.14932250976562
2021-09-29T00:00:00Z,31.9555,-109.0744,75.67135620117188
