time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],pr[unit="in"]
2021-07-04T00:00:00Z,31.9555,-109.0744,0.05118384212255478
2021-07-05T00:00:00Z,31.9555,-109.0744,0.015153275802731514
2021-07-06T00:00:00Z,31.9555,-109.0744,0.0
2021-07-07T00:00:00Z,31.9555,-109.0744,0.0
2021-07-08T00:00:00Z,31.9555,-109.0744,0.0
2021-07-09T00:00:00Z,31.9555,-109.0744,0.0
2021-07-10T00:00:00Z,31.9555,-109.0744,0.009597159922122955
2021-07-11T00:00:00Z,31.9555,-109.0744,0.0
2021-07-12T00:00:00Z,31.9555,-109.0744,0.0
2021-07-13T00:00:00Z,31.9555,-109.0744,0.09916847944259644
2021-07-14T00:00:00Z,31.9555,-109.0744,0.04798486828804016
2021-07-15T00:00:00Z,31.9555,-109.0744,0.021046124398708344
2021-07-16T00:00:00Z,31.9555,-109.0744,0.03485223278403282
2021-07-17T00:00:00Z,31.9555,-109.0744,0.0927705243229866
2021-07-18T00:00:00Z,31.9555,-109.0744,0.6529280543327332
2021-07-19T00:00:00Z,31.9555,-109.0744,0.15826533734798431
2021-07-20T00:00:00Z,31.9555,-109.0744,0.16432654857635498
2021-07-21T00:00:00Z,31.9555,-109.0744,0.026433872058987617
2021-07-22T00:00:00Z,31.9555,-109.0744,0.0
2021-07-23T00:00:00Z,31.9555,-109.0744,0.0
2021-07-24T00:00:00Z,31.9555,-109.0744,0.0
2021-07-25T00:00:00Z,31.9555,-109.0744,0.17729084193706512
2021-07-26T00:00:00Z,31.9555,-109.0744,0.22308668494224548
2021-07-27T00:00:00Z,31.9555,-109.0744,0.18840306997299194
2021-07-28T00:00:00Z,31.9555,-109.0744,0.10371439158916473
2021-07-29T00:00:00Z,31.9555,-109.0744,0.3491936922073364
2021-07-30T00:00:00Z,31.9555,-109.0744,0.0
2021-07-31T00:00:00Z,31.9555,-109.0744,0.0
2021-08-01T00:00:00Z,31.9555,-109.0744,0.06763522326946259
2021-08-02T00:00:00Z,31.9555,-109.0744,0.18512502312660217
2021-08-03T00:00:00Z,31.9555,-109.0744,0.42934346199035645
2021-08-04T00:00:00Z,31.9555,-109.0744,0.0
2021-08-05T00:00:00Z,31.9555,-109.0744,0.03172587230801582
2021-08-06T00:00:00Z,31.9555,-109.0744,0.03259745612740517
2021-08-07T00:00:00Z,31.9555,-109.0744,0.0
2021-08-08T00:00:00Z,31.9555,-109.0744,0.32649627327919006
2021-08-09T00:00:00Z,31.9555,-109.0744,0.0
2021-08-10T00:00:00Z,31.9555,-109.0744,0.13561893999576569
2021-08-11T00:00:00Z,31.9555,-109.0744,0.0
2021-08-12T00:00:00Z,31.9555,-109.0744,0.02771657705307007
2021-08-13T00:00:00Z,31.9555,-109.0744,0.0
2021-08-14T00:00:00Z,31.9555,-109.0744,0.025101816281676292
2021-08-15T00:00:00Z,31.9555,-109.0744,0.25607213377952576
2021-08-16T00:00:00Z,31.9555,-109.0744,0.15880312025547028
2021-08-17T00:00:00Z,31.9555,-109.0744,0.05403847619891167
2021-08-18T00:00:00Z,31.9555,-109.0744,0.09883800148963928
2021-08-19T00:00:00Z,31.9555,-109.0744,0.09430575370788574
2021-08-20T00:00:00Z,31.9555,-109.0744,0.03747833892703056
2021-08-21T00:00:00Z,31.9555,-109.0744,0.1504358947277069
2021-08-22T00:00:00Z,31.9555,-109.0744,0.022312743589282036
2021-08-23T00:00:00Z,31.9555,-109.0744,0.1999419927597046
2021-08-24T00:00:00Z,31.9555,-109.0744,0.0
2021-08-25T00:00:00Z,31.9555,-109.0744,0.0
2021-08-26T00:00:00Z,31.9555,-109.0744,0.0
2021-08-27T00:00:00Z,31.9555,-109.0744,0.0
2021-08-28T00:00:00Z,31.9555,-109.0744,0.0
2021-08-29T00:00:00Z,31.9555,-109.0744,0.008541681803762913
2021-08-30T00:00:00Z,31.9555,-109.0744,0.0
2021-08-31T00:00:00Z,31.9555,-109.0744,0.0
2021-09-01T00:00:00Z,31.9555,-109.0744,0.3076726198196411
2021-09-02T00:00:00Z,31.9555,-109.0744,0.43318870663642883
2021-09-03T00:00:00Z,31.9555,-109.0744,0.09425001591444016
2021-09-04T00:00:00Z,31.9555,-109.0744,0.0
2021-09-05T00:00:00Z,31.9555,-109.0744,0.05188268423080444
2021-09-06T00:00:00Z,31.9555,-109.0744,0.0
2021-09-07T00:00:00Z,31.9555,-109.0744,0.0
2021-09-08T00:00:00Z,31.9555,-109.0744,0.050749871879816055
2021-09-09T00:00:00Z,31.9555,-109.0744,0.049390487372875214
2021-09-10T00:00:00Z,31.9555,-109.0744,0.0
2021-09-11T00:00:00Z,31.9555,-109.0744,0.2213520109653473
2021-09-12T00:00:00Z,31.9555,-109.0744,0.0
2021-09-13T00:00:00Z,31.9555,-109.0744,0.03375762328505516
2021-09-14T00:00:00Z,31.9555,-109.0744,0.0
2021-09-15T00:00:00Z,31.9555,-109.0744,0.0
2021-09-16T00:00:00Z,31.9555,-109.0744,0.0
