time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tasmax[unit="F"]
2021-08-31T00:00:00Z,31.9555,-109.0744,92.00945281982422
2021-09-01T00:00:00Z,31.9555,-109.0744,92.42352294921875
2021-09-02T00:00:00Z,31.9555,-109.0744,84.43152618408203
2021-09-03T00:00:00Z,31.9555,-109.0744,84.28749084472656
2021-09-04T00:00:00Z,31.9555,-109.0744,90.80348205566406
2021-09-05T00:00:00Z,31.9555,-109.0744,93.46745300292969
2021-09-06T00:00:00Z,31.9555,-109.0744,92.20748138427734
2021-09-07T00:00:00Z,31.9555,-109.0744,93.89949035644531
2021-09-08T00:00:00Z,31.9555,-109.0744,92.31547546386719
2021-09-09T00:00:00Z,31.9555,-109.0744,92.7294921875
2021-09-10T00:00:00Z,31.9555,-109.0744,91.1994857788086
2021-09-11T00:00:00Z,31.9555,-109.0744,90.76744842529297
2021-09-12T00:00:00Z,31.9555,-109.0744,88.55348205566406
2021-09-13T00:00:00Z,31.9555,-109.0744,86.51947784423828
2021-09-14T00:00:00Z,31.9555,-109.0744,86.06947326660156
2021-09-15T00:00:00Z,31.9555,-109.0744,89.20146179199219
2021-09-16T00:00:00Z,31.9555,-109.0744,89.3814697265625
2021-09-17T00:00:00Z,31.9555,-109.0744,89.41744995117188
2021-09-18T00:00:00Z,31.9555,-109.0744,89.36344909667969
2021-09-19T00:00:00Z,31.9555,-109.0744,89.16548156738281
2021-09-20T00:00:00Z,31.9555,-109.0744,86.57347106933594
2021-09-21T00:00:00Z,31.9555,-109.0744,85.56547546386719
2021-09-22T00:00:00Z,31.9555,-109.0744,87.74357604980469
2021-09-23T00:00:00Z,31.9555,-109.0744,87.90545654296875
2021-09-24T00:00:00Z,31.9555,-109.0744,88.42747497558594
2021-09-25T00:00:00Z,31.9555,-109.0744,89.68749237060547
2021-09-26T00:00:00Z,31.9555,-109.0744,91.07347106933594
2021-09-27T00:00:00Z,31.9555,-109.0744,92.7294921875
2021-09-28T00:00:00Z,31.9555,-109.0744,92.62155151367188
2021-09-29T00:00:00Z,31.9555,-109.0744,91.32736206054688
